CLAIMNUMBER,LOBCODE
030923630,10004
030923657,10004
030923772,10004
030923933,10004
030923981,10004
030924031,10004
030924220,10004
030924234,10004
030924260,10004
030924263,10004
030924349,10004
030924442,10004
030924544,10004
030924549,10004
030924577,10004
030924616,10004
030924650,10004
030925927,10004
030925977,10004
030925986,10004
030925995,10004
030926007,10004
030926135,10004
030926149,10004
030926152,10004
030926203,10004
030926234,10004
030926261,10004
030926304,10004
030926371,10004
030926380,10004
030926386,10004
030926390,10004
030926409,10004
030926447,10004
030926492,10004
030926493,10004
030926510,10004
030926572,10004
030926614,10004
030926693,10004
030926705,10004
030926827,10004
030926925,10004
030926952,10004
030926988,10004
030927213,10004
030927219,10004
030927231,10004
030927233,10004
030927251,10004
030927302,10004
030927433,10004
030927491,10004
030927517,10004
030927552,10004
030927720,10004
030927994,10004
030928003,10004
030928133,10004
030928185,10004
030928273,10004
030928294,10004
030928325,10004
030928342,10004
030928366,10004
030928419,10004
030928447,10004
030928575,10004
030928609,10004
030928613,10004
030928640,10004
030928645,10004
030928744,10004
030928807,10004
030928982,10004
030929034,10004
030929111,10004
030929131,10004
030929136,10004
030929150,10004
030929201,10004
030929221,10004
030929257,10004
030929268,10004
030929272,10004
030929340,10004
030929374,10004
030929457,10004
030929584,10004
030929792,10004
030929796,10004
030929807,10004
030929830,10004
030929912,10004
030929993,10004
030929998,10004
030930070,10004
030930085,10004
030930090,10004
030930247,10004
030930321,10004
030930338,10004
030931547,10004
030931668,10004
030931691,10004
030931719,10004
030931842,10004
030931864,10004
030932028,10004
030932039,10004
030932075,10004
030932132,10004
030932133,10004
030932195,10004
030932246,10004
030932310,10004
030932356,10004
030932413,10004
030932437,10004
030932449,10004
030932458,10004
030932473,10004
030932512,10004
030932520,10004
030932568,10004
030932682,10004
030932687,10004
030932754,10004
030932793,10004
030932823,10004
030932891,10004
030932980,10004
030932998,10004
030933002,10004
030933048,10004
030933062,10004
030933080,10004
030933091,10004
030933119,10004
030933159,10004
030933201,10004
030933353,10004
030933412,10004
030933440,10004
030933506,10004
030933508,10004
030933553,10004
030933558,10004
030933573,10004
030933575,10004
030933582,10004
030933602,10004
030933604,10004
030933655,10004
030933706,10004
030933719,10004
030933774,10004
030933802,10004
030933823,10004
030933842,10004
030933883,10004
030933888,10004
030933892,10004
030933918,10004
030933974,10004
030933975,10004
030934010,10004
030934054,10004
030934085,10004
030934123,10004
030934159,10004
030934186,10004
030934271,10004
030934346,10004
030934406,10004
030934415,10004
030934470,10004
030934485,10004
030934576,10004
030934584,10004
030934597,10004
030934608,10004
030934696,10004
030934763,10004
030934785,10004
030934902,10004
030934922,10004
030935038,10004
030935044,10004
030935076,10004
030935133,10004
