LM_PARENTEXPOSURENUMBER,LEVEL
023278473,OccurrenceAndClaim
023278485,OccurrenceAndClaim
023278500,OccurrenceAndClaim
023280566,OccurrenceAndClaim
023280579,OccurrenceAndClaim
023280585,OccurrenceAndClaim
023280590,OccurrenceAndClaim
023280626,OccurrenceAndClaim
023281693,OccurrenceAndClaim
023281714,OccurrenceAndClaim
023281755,OccurrenceAndClaim
023282903,OccurrenceAndClaim
023282916,OccurrenceAndClaim
023282945,OccurrenceAndClaim
023283133,OccurrenceAndClaim
023283166,OccurrenceAndClaim
023283215,OccurrenceAndClaim
023283294,OccurrenceAndClaim
023283318,OccurrenceAndClaim
023283319,OccurrenceAndClaim
023283323,OccurrenceAndClaim
023283396,OccurrenceAndClaim
023283414,OccurrenceAndClaim
023290685,OccurrenceAndClaim
023290687,OccurrenceAndClaim
023290721,OccurrenceAndClaim
023290797,OccurrenceAndClaim
023290891,OccurrenceAndClaim
023290996,OccurrenceAndClaim
023291023,OccurrenceAndClaim
023291024,OccurrenceAndClaim
023291166,OccurrenceAndClaim
023291184,OccurrenceAndClaim
023291315,OccurrenceAndClaim
023292444,OccurrenceAndClaim
023292477,OccurrenceAndClaim
023292533,OccurrenceAndClaim
023292542,OccurrenceAndClaim
023292590,OccurrenceAndClaim
023292595,OccurrenceAndClaim
023292621,OccurrenceAndClaim
023293663,OccurrenceAndClaim
023293682,OccurrenceAndClaim
023293696,OccurrenceAndClaim
023295836,OccurrenceAndClaim
023295838,OccurrenceAndClaim
023296925,OccurrenceAndClaim
023296926,OccurrenceAndClaim
023296938,OccurrenceAndClaim
023296942,OccurrenceAndClaim
023304119,OccurrenceAndClaim
023304177,OccurrenceAndClaim
023304196,OccurrenceAndClaim
023305289,OccurrenceAndClaim
023305296,OccurrenceAndClaim
023305344,OccurrenceAndClaim
023305373,OccurrenceAndClaim
023312552,OccurrenceAndClaim
023312568,OccurrenceAndClaim
023312674,OccurrenceAndClaim
023312675,OccurrenceAndClaim
023312677,OccurrenceAndClaim
023312710,OccurrenceAndClaim
023312732,OccurrenceAndClaim
023312843,OccurrenceAndClaim
023312856,OccurrenceAndClaim
023312860,OccurrenceAndClaim
023312900,OccurrenceAndClaim
023312968,OccurrenceAndClaim
023312983,OccurrenceAndClaim
023313034,OccurrenceAndClaim
023313045,OccurrenceAndClaim
023313070,OccurrenceAndClaim
023313083,OccurrenceAndClaim
023313120,OccurrenceAndClaim
023313207,OccurrenceAndClaim
023313215,OccurrenceAndClaim
023313277,OccurrenceAndClaim
023313302,OccurrenceAndClaim
023313378,OccurrenceAndClaim
023313393,OccurrenceAndClaim
023313436,OccurrenceAndClaim
023313439,OccurrenceAndClaim
023313451,OccurrenceAndClaim
023314495,OccurrenceAndClaim
023315627,OccurrenceAndClaim
023315647,OccurrenceAndClaim
023316698,OccurrenceAndClaim
023316720,OccurrenceAndClaim
023317766,OccurrenceAndClaim
023317773,OccurrenceAndClaim
023317785,OccurrenceAndClaim
023317799,OccurrenceAndClaim
023318891,OccurrenceAndClaim
023318917,OccurrenceAndClaim
023318929,OccurrenceAndClaim
023319075,OccurrenceAndClaim
023326370,OccurrenceAndClaim
023326418,OccurrenceAndClaim
023326435,OccurrenceAndClaim
023326459,OccurrenceAndClaim
023326462,OccurrenceAndClaim
023326516,OccurrenceAndClaim
023326530,OccurrenceAndClaim
023326538,OccurrenceAndClaim
023326551,OccurrenceAndClaim
023326554,OccurrenceAndClaim
023326567,OccurrenceAndClaim
023326590,OccurrenceAndClaim
023326620,OccurrenceAndClaim
023326653,OccurrenceAndClaim
023326672,OccurrenceAndClaim
023326674,OccurrenceAndClaim
023326685,OccurrenceAndClaim
023326697,OccurrenceAndClaim
023326743,OccurrenceAndClaim
023326752,OccurrenceAndClaim
023326754,OccurrenceAndClaim
023326845,OccurrenceAndClaim
023326847,OccurrenceAndClaim
023326912,OccurrenceAndClaim
023326940,OccurrenceAndClaim
023326948,OccurrenceAndClaim
023326972,OccurrenceAndClaim
023327012,OccurrenceAndClaim
023328178,OccurrenceAndClaim
023328197,OccurrenceAndClaim
023328198,OccurrenceAndClaim
023328329,OccurrenceAndClaim
023329378,OccurrenceAndClaim
023329403,OccurrenceAndClaim
023329441,OccurrenceAndClaim
