LM_PARENTEXPOSURENUMBER,LEVEL
023018389,OccurrenceAndClaim
023018459,OccurrenceAndClaim
023025654,OccurrenceAndClaim
023025713,OccurrenceAndClaim
023025772,OccurrenceAndClaim
023025793,OccurrenceAndClaim
023025834,OccurrenceAndClaim
023025852,OccurrenceAndClaim
023025919,OccurrenceAndClaim
023025922,OccurrenceAndClaim
023025948,OccurrenceAndClaim
023025958,OccurrenceAndClaim
023025972,OccurrenceAndClaim
023025975,OccurrenceAndClaim
023026008,OccurrenceAndClaim
023026018,OccurrenceAndClaim
023026028,OccurrenceAndClaim
023026038,OccurrenceAndClaim
023026078,OccurrenceAndClaim
023026133,OccurrenceAndClaim
023026193,OccurrenceAndClaim
023026229,OccurrenceAndClaim
023026272,OccurrenceAndClaim
023027339,OccurrenceAndClaim
023027357,OccurrenceAndClaim
023027403,OccurrenceAndClaim
023027411,OccurrenceAndClaim
023027471,OccurrenceAndClaim
023027536,OccurrenceAndClaim
023027585,OccurrenceAndClaim
023027588,OccurrenceAndClaim
023027724,OccurrenceAndClaim
023037006,OccurrenceAndClaim
023037025,OccurrenceAndClaim
023037051,OccurrenceAndClaim
023037094,OccurrenceAndClaim
023037120,OccurrenceAndClaim
023037146,OccurrenceAndClaim
023037215,OccurrenceAndClaim
023037245,OccurrenceAndClaim
023037246,OccurrenceAndClaim
023037314,OccurrenceAndClaim
023037316,OccurrenceAndClaim
023037367,OccurrenceAndClaim
023037467,OccurrenceAndClaim
023037496,OccurrenceAndClaim
023037553,OccurrenceAndClaim
023037601,OccurrenceAndClaim
023038666,OccurrenceAndClaim
023038675,OccurrenceAndClaim
023038708,OccurrenceAndClaim
023038711,OccurrenceAndClaim
023038731,OccurrenceAndClaim
023038799,OccurrenceAndClaim
023038812,OccurrenceAndClaim
023038820,OccurrenceAndClaim
023038841,OccurrenceAndClaim
023038917,OccurrenceAndClaim
023047206,OccurrenceAndClaim
023047217,OccurrenceAndClaim
023047242,OccurrenceAndClaim
023047253,OccurrenceAndClaim
023047258,OccurrenceAndClaim
023047259,OccurrenceAndClaim
023047340,OccurrenceAndClaim
023047343,OccurrenceAndClaim
023047349,OccurrenceAndClaim
023047366,OccurrenceAndClaim
023047375,OccurrenceAndClaim
023047393,OccurrenceAndClaim
023047428,OccurrenceAndClaim
023048509,OccurrenceAndClaim
023048552,OccurrenceAndClaim
023048570,OccurrenceAndClaim
023056989,OccurrenceAndClaim
023056992,OccurrenceAndClaim
023057039,OccurrenceAndClaim
023057068,OccurrenceAndClaim
023057085,OccurrenceAndClaim
023064331,OccurrenceAndClaim
023064390,OccurrenceAndClaim
023064391,OccurrenceAndClaim
023064425,OccurrenceAndClaim
023064428,OccurrenceAndClaim
023064533,OccurrenceAndClaim
023064570,OccurrenceAndClaim
023064597,OccurrenceAndClaim
023064619,OccurrenceAndClaim
023064659,OccurrenceAndClaim
023064670,OccurrenceAndClaim
023064676,OccurrenceAndClaim
023064728,OccurrenceAndClaim
023064755,OccurrenceAndClaim
023064798,OccurrenceAndClaim
023064816,OccurrenceAndClaim
023064858,OccurrenceAndClaim
023064871,OccurrenceAndClaim
023064941,OccurrenceAndClaim
023064991,OccurrenceAndClaim
023064992,OccurrenceAndClaim
023064999,OccurrenceAndClaim
023065006,OccurrenceAndClaim
023065086,OccurrenceAndClaim
023065129,OccurrenceAndClaim
023066172,OccurrenceAndClaim
023066192,OccurrenceAndClaim
023066208,OccurrenceAndClaim
023066220,OccurrenceAndClaim
023066249,OccurrenceAndClaim
023066345,OccurrenceAndClaim
023066346,OccurrenceAndClaim
023068431,OccurrenceAndClaim
023068460,OccurrenceAndClaim
023068471,OccurrenceAndClaim
023068475,OccurrenceAndClaim
023068477,OccurrenceAndClaim
023068502,OccurrenceAndClaim
023068505,OccurrenceAndClaim
023068518,OccurrenceAndClaim
023068546,OccurrenceAndClaim
023070736,OccurrenceAndClaim
023070808,OccurrenceAndClaim
023070811,OccurrenceAndClaim
023070815,OccurrenceAndClaim
023070885,OccurrenceAndClaim
023070887,OccurrenceAndClaim
023078126,OccurrenceAndClaim
023078179,OccurrenceAndClaim
023078202,OccurrenceAndClaim
023078203,OccurrenceAndClaim
023078218,OccurrenceAndClaim
023078230,OccurrenceAndClaim
023078244,OccurrenceAndClaim
023078401,OccurrenceAndClaim
023078413,OccurrenceAndClaim
023078419,OccurrenceAndClaim
023078427,OccurrenceAndClaim
023078499,OccurrenceAndClaim
023078514,OccurrenceAndClaim
023078583,OccurrenceAndClaim
023078597,OccurrenceAndClaim
023078625,OccurrenceAndClaim
023078733,OccurrenceAndClaim
023079829,OccurrenceAndClaim
023079888,OccurrenceAndClaim
023079901,OccurrenceAndClaim
023079905,OccurrenceAndClaim
023079992,OccurrenceAndClaim
023079994,OccurrenceAndClaim
023080005,OccurrenceAndClaim
023080016,OccurrenceAndClaim
023080072,OccurrenceAndClaim
023080090,OccurrenceAndClaim
023080198,OccurrenceAndClaim
023081242,OccurrenceAndClaim
023081248,OccurrenceAndClaim
023082287,OccurrenceAndClaim
023090495,OccurrenceAndClaim
023090614,OccurrenceAndClaim
023090640,OccurrenceAndClaim
023090648,OccurrenceAndClaim
023090665,OccurrenceAndClaim
023090669,OccurrenceAndClaim
023090716,OccurrenceAndClaim
023090764,OccurrenceAndClaim
023090829,OccurrenceAndClaim
023090858,OccurrenceAndClaim
023090874,OccurrenceAndClaim
023090887,OccurrenceAndClaim
023090914,OccurrenceAndClaim
023090926,OccurrenceAndClaim
023090955,OccurrenceAndClaim
023090974,OccurrenceAndClaim
023091004,OccurrenceAndClaim
023092131,OccurrenceAndClaim
023092137,OccurrenceAndClaim
023092179,OccurrenceAndClaim
023092194,OccurrenceAndClaim
023092301,OccurrenceAndClaim
023092302,OccurrenceAndClaim
023092359,OccurrenceAndClaim
023092384,OccurrenceAndClaim
023094554,OccurrenceAndClaim
023094556,OccurrenceAndClaim
023102812,OccurrenceAndClaim
023102826,OccurrenceAndClaim
023102889,OccurrenceAndClaim
023102890,OccurrenceAndClaim
023102968,OccurrenceAndClaim
023103100,OccurrenceAndClaim
023103109,OccurrenceAndClaim
023103147,OccurrenceAndClaim
023103208,OccurrenceAndClaim
023103211,OccurrenceAndClaim
023103357,OccurrenceAndClaim
023103395,OccurrenceAndClaim
023104438,OccurrenceAndClaim
023104471,OccurrenceAndClaim
023104472,OccurrenceAndClaim
023104556,OccurrenceAndClaim
023104584,OccurrenceAndClaim
023104601,OccurrenceAndClaim
023104642,OccurrenceAndClaim
023104650,OccurrenceAndClaim
023104677,OccurrenceAndClaim
023104747,OccurrenceAndClaim
023105803,OccurrenceAndClaim
023107894,OccurrenceAndClaim
023108941,OccurrenceAndClaim
023116207,OccurrenceAndClaim
023116232,OccurrenceAndClaim
023116243,OccurrenceAndClaim
023116275,OccurrenceAndClaim
023116306,OccurrenceAndClaim
023116432,OccurrenceAndClaim
023116464,OccurrenceAndClaim
023116500,OccurrenceAndClaim
023116523,OccurrenceAndClaim
023116575,OccurrenceAndClaim
023116615,OccurrenceAndClaim
023116673,OccurrenceAndClaim
023116754,OccurrenceAndClaim
023116755,OccurrenceAndClaim
023116761,OccurrenceAndClaim
023116764,OccurrenceAndClaim
023116782,OccurrenceAndClaim
023117862,OccurrenceAndClaim
023117890,OccurrenceAndClaim
023117910,OccurrenceAndClaim
023117969,OccurrenceAndClaim
023117984,OccurrenceAndClaim
023118044,OccurrenceAndClaim
023118051,OccurrenceAndClaim
023118077,OccurrenceAndClaim
023118080,OccurrenceAndClaim
023118098,OccurrenceAndClaim
023118186,OccurrenceAndClaim
023127444,OccurrenceAndClaim
023127458,OccurrenceAndClaim
023127467,OccurrenceAndClaim
023127566,OccurrenceAndClaim
023127673,OccurrenceAndClaim
023127698,OccurrenceAndClaim
023127715,OccurrenceAndClaim
023128798,OccurrenceAndClaim
023128808,OccurrenceAndClaim
023128847,OccurrenceAndClaim
023128897,OccurrenceAndClaim
023128947,OccurrenceAndClaim
023129032,OccurrenceAndClaim
023129083,OccurrenceAndClaim
023129161,OccurrenceAndClaim
023129191,OccurrenceAndClaim
023136476,OccurrenceAndClaim
023136499,OccurrenceAndClaim
023136565,OccurrenceAndClaim
023136597,OccurrenceAndClaim
023136651,OccurrenceAndClaim
023136665,OccurrenceAndClaim
023136724,OccurrenceAndClaim
023136742,OccurrenceAndClaim
023136748,OccurrenceAndClaim
023136789,OccurrenceAndClaim
023136802,OccurrenceAndClaim
023136826,OccurrenceAndClaim
023136831,OccurrenceAndClaim
