044647717,TP07,02/12/2014
044655940,TP02,08/12/2014
044655941,TP02,08/12/2014
044655944,TP02,08/12/2014
044655946,TP02,08/12/2014
044655951,TP02,08/12/2014
044655952,TP02,08/12/2014
044655953,TP02,08/12/2014
044655955,TP02,08/12/2014
044655958,TP02,08/12/2014
044655959,TP02,08/12/2014
044655960,TP02,08/12/2014
044655964,TP02,08/12/2014
044655966,TP02,08/12/2014
044655967,TP02,08/12/2014
044655969,TP02,08/12/2014
044655971,TP02,08/12/2014
044655972,TP02,08/12/2014
044655973,TP02,08/12/2014
044655978,TP02,08/12/2014
044655980,TP02,08/12/2014
044655981,TP02,08/12/2014
044655982,TP02,08/12/2014
044655986,TP02,08/12/2014
044655987,TP02,08/12/2014
044655989,TP02,08/12/2014
044655990,TP02,08/12/2014
044655993,TP02,08/12/2014
044655995,TP02,08/12/2014
044655996,TP02,08/12/2014
044655997,TP02,08/12/2014
044656001,TP02,08/12/2014
044656003,TP02,08/12/2014
044656006,TP02,08/12/2014
044656007,TP02,08/12/2014
044656013,TP02,08/12/2014
044656014,TP02,08/12/2014
044656016,TP02,08/12/2014
044656017,TP02,08/12/2014
044656022,TP02,08/12/2014
044656024,TP02,08/12/2014
044656025,TP02,08/12/2014
044656027,TP02,08/12/2014
044656032,TP02,08/12/2014
044656034,TP02,08/12/2014
044656035,TP02,08/12/2014
044656036,TP02,08/12/2014
044656040,TP02,08/12/2014
044656042,TP02,08/12/2014
044656043,TP02,08/12/2014
044656044,TP02,08/12/2014
044656046,TP02,08/12/2014
044656050,TP02,08/12/2014
044656052,TP02,08/12/2014
044656054,TP02,08/12/2014
044656055,TP02,08/12/2014
044656061,TP02,08/12/2014
044656062,TP02,08/12/2014
044656063,TP02,08/12/2014
044656068,TP02,08/12/2014
044656070,TP02,08/12/2014
044656073,TP02,08/12/2014
044656075,TP02,08/12/2014
044656076,TP02,08/12/2014
044656082,TP02,08/12/2014
044656083,TP02,08/12/2014
044656085,TP02,08/12/2014
044656086,TP02,08/12/2014
044656090,TP02,08/12/2014
044656093,TP02,08/12/2014
044656094,TP02,08/12/2014
044656095,TP02,08/12/2014
044656099,TP02,08/12/2014
044656102,TP02,08/12/2014
044656103,TP02,08/12/2014
044656104,TP02,08/12/2014
044656110,TP02,08/12/2014
044656111,TP02,08/12/2014
044656116,TP02,08/12/2014
044656117,TP02,08/12/2014
044656118,TP02,08/12/2014
044656120,TP02,08/12/2014
044656125,TP02,08/12/2014
044656127,TP02,08/12/2014
044656129,TP02,08/12/2014
044656130,TP02,08/12/2014
044656136,TP02,08/12/2014
044656139,TP02,08/12/2014
044656140,TP02,08/12/2014
044656143,TP02,08/12/2014
044656145,TP02,08/12/2014
044656147,TP02,08/12/2014
044656148,TP02,08/12/2014
044656153,TP02,08/12/2014
