026744041,20130428,2,4425865
027598443,20130622,5,5204496
027654548,20130719,1,5264951
027782901,20130823,3,5398688
027811948,20130828,1,5431531
027941256,20130916,4,6060575
028089027,20131007,4,5744906
028092341,20131002,1,5720851
028108041,20131009,2,5739567
028166132,20131017,1,5800256
028174513,20131018,1,5810058
028191498,20131021,6,5841293
028193276,20131021,4,5920812
028201495,20130828,1,5839438
028222968,20131025,1,5861992
028286417,20131102,3,6019249
028294038,20131102,6,5933048
028304418,20131105,1,5946588
028308860,20131105,1,5952842
028313606,20131021,1,5957770
028524286,20131204,5,6178149
028596446,20131213,3,6629118
028637935,20131214,1,6297996
028840554,20140109,1,6521297
028858078,20140118,4,6545391
028859035,20140118,3,6543226
029051292,20140212,2,6747698
029153647,20140214,1,6860799
029417847,20140401,1,7142283
029470150,20140408,1,7198286
029565487,20140413,4,7324942
029821128,20140525,3,7578826
029863384,20140530,1,7623345
029872781,20140601,1,7634034
029876384,20140531,2,7636045
029925934,20140530,2,7742155
029928824,20140609,1,7703714
029981979,20140616,1,7763518
030040964,20140624,5,8013454
030042512,20140623,1,7828751
030055376,20140626,8,7868864
030099254,20140702,2,7898485
030128165,20140615,1,7925604
030151174,20140709,1,7953848
030198510,20140718,3,8041939
030232809,20140723,1,8061018
030297552,20140731,1,8128623
030302589,20140801,1,8134644
030322741,20140731,1,8150267
030336650,20140806,3,8165243
030365494,20140808,4,8222548
030375867,20140812,6,8470772
030376966,20140811,1,8213451
030393499,20140726,1,8234886
030413012,20140814,1,8257333
030462069,20140825,4,8324916
030488429,20140825,1,8349304
030509202,20140831,1,8371989
030516874,20140902,1,8382092
030533149,20140905,1,8403182
030587598,20140913,3,8464074
030593864,20140829,4,8474586
030607102,20140812,1,8497285
030628679,20140922,1,8523264
030636886,20140922,1,8532425
030706691,20141003,3,8611569
030728547,20140731,1,8634416
030734687,20141007,7,8641320
030738369,20141007,2,8645284
030745674,20141007,1,8653441
030753578,20141009,1,8661735
030772272,20141009,1,8681444
030772809,20140821,2,8682373
030784811,20141014,4,8765008
030785005,20141015,3,8711312
030785770,20141015,4,8736998
030795254,20141015,3,8715324
030797144,20141016,3,8790338
030798328,20141016,1,8719989
030832618,20141022,4,8790069
030860687,20141017,1,8794462
030870652,20141028,9,8808177
030870652,20141028,5,8808173
